product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count
11,2,204,Gordon PLC Bag,"Position nor area important. Others point product across indeed too.
His plant case kind policy make reason. Weight share similar garden relationship store laugh. Every serious local.",600.44,526.18,479,10.63,True,2024-12-31 10:23:44.104742,Chavez Ltd,SKU-11504,4.4,19
12,5,503,Rodriguez Ltd Future,"Yeah use relate energy. Shoulder see head add rise operation.
Course down case knowledge foreign less with. Lot best per.
Paper me face off. Especially sing above suggest data president.",770.91,633.93,445,3.25,False,2025-01-02 10:23:44.104742,Gordon-Bailey,SKU-44522,4.9,98
13,2,205,"Bauer, Nunez and Torres Decade","Majority bag his unit for newspaper pressure smile. Support head land game personal. Moment news street. Trade find area real run society tell.
Plant month everybody newspaper something.",913.5,845.04,861,12.82,True,2024-12-16 10:23:44.104742,Torres-Wilson,SKU-30032,3.7,31
14,5,505,Bradford-Martinez Marriage,"Sell live herself college water. Win see already around knowledge city experience tend.
Bad day little newspaper with parent. Clear arm son force. Nation research step home ok.",919.31,795.05,19,2.33,True,2024-12-24 10:23:44.104742,Hopkins-Jenkins,SKU-50306,3.5,35
15,5,501,Williams Inc Fine,Head section improve. Home different think nor for reality might security. Movie since occur require issue.,94.8,91.31,778,10.7,True,2024-12-28 10:23:44.104742,"Glass, Morris and Stokes",SKU-96474,4.0,81
16,2,203,Conway-Green Painting,"Per guess type why left chance.
Tell I start particular.
Student get activity. Parent sea shake.",532.4,470.97,216,18.59,True,2024-12-24 10:23:44.104742,Lambert Ltd,SKU-36365,4.4,54
17,3,304,Osborne-Greer Rich,"Coach medical item bank window memory.
I heavy matter your. Mouth staff trouble artist then chair.
Hold bar board woman rich fly. Myself eat add here single.",900.62,742.29,230,1.37,False,2024-12-29 10:23:44.104742,Romero Inc,SKU-82603,3.5,37
18,1,101,White-Wright Measure,"Store after money war outside side. Dream can food realize off store.
Law after now gun. Market peace image employee capital television sound. Time hope seem unit anything.",710.76,601.15,927,0.73,True,2025-01-11 10:23:44.104742,"Glover, Soto and Roberts",SKU-77391,3.5,88
19,4,402,"Thomas, Silva and Mack Loss",Story very majority effect career. Under current happy happy our beyond recognize. Order under those partner brother night president.,543.84,536.83,584,11.57,True,2024-12-20 10:23:44.104742,"Reid, Walker and Juarez",SKU-71993,4.6,31
20,1,101,Macias-Taylor Majority,"Court author produce.
Treatment attorney people item. Minute thousand interest mission low.",662.39,586.03,478,17.29,False,2025-01-01 10:23:44.104742,"Mcintyre, Kent and Brooks",SKU-95649,5.0,15
21,1,104,Rodriguez Inc Care,"Serve present home clear well star. Should garden security performance. Series off forget interesting.
Enough include worry mother last dream green.",730.93,710.71,254,3.91,True,2024-12-18 10:23:44.104742,Golden-Ryan,SKU-28373,3.8,43
22,4,402,"Kim, Reynolds and Logan Decade",Blue human sense station result recently fight. Successful million resource whose well. Concern player visit pressure.,875.74,778.21,882,17.13,False,2025-01-10 10:23:44.104742,Hill-Allen,SKU-95477,5.0,8
23,1,102,Wilson-Roberts Whatever,Politics laugh take standard other chair pattern. Certain its forget sit window learn. There suffer born. Important my great development public.,174.65,156.53,885,8.08,False,2024-12-28 10:23:44.104742,"Morgan, Malone and Alvarez",SKU-59672,3.0,57
24,3,304,"Duran, Barrett and Kelly Responsibility",Since energy late you face consider up. Argue close hair answer. Boy behavior nearly discussion.,292.4,289.9,802,11.16,True,2024-12-21 10:23:44.104742,"Morris, Burgess and Gutierrez",SKU-30289,3.4,31
25,1,105,Wolfe LLC These,Staff keep change force. Rest note when agent we page mention. Author baby kid office character hot.,738.38,701.16,58,1.1,True,2025-01-11 10:23:44.104742,"Bowen, Jordan and Franklin",SKU-79615,3.3,67
26,1,102,Gentry LLC Street,"Husband finally be similar say memory sell.
Pay how watch guy. Off room as.
Or fall affect what production girl. Picture rate west.",77.84,72.78,240,8.14,True,2025-01-10 10:23:44.104742,"Cox, Greer and Underwood",SKU-84668,3.5,89
27,1,105,Moore LLC Population,Big say yet born use public produce. Instead our full explain activity hope. Son floor picture argue next. Effect structure wrong window game light.,91.16,83.57,535,6.4,True,2024-12-22 10:23:44.104742,"Davis, Salazar and Rivera",SKU-97782,4.4,36
28,3,304,Miller-Wilson Trouble,"Well strong process beautiful. Offer soldier necessary art hour return. Crime might nor within by point happen.
Read up begin. Deal town yard interview.",139.57,120.03,323,18.59,True,2024-12-23 10:23:44.104742,"Lara, Austin and Beard",SKU-11220,3.9,80
29,1,101,Alvarado-Porter Anyone,Really often hit treat. Seem process somebody enjoy. Happen hospital right four question argue six.,542.26,462.57,955,7.05,False,2024-12-27 10:23:44.104742,Graves LLC,SKU-42018,3.7,25
30,4,405,"Daniel, Duffy and Woodard Minute",Describe fish police traditional actually increase. Film live tell property article take until.,706.5,704.22,826,13.11,False,2024-12-24 10:23:44.104742,"Williams, Norman and Welch",SKU-82692,3.6,92
31,1,102,Williams Group Own,"Cup culture song central threat seven. Shoulder free light dinner.
Ahead official become major present. Per kid mind manager treat customer stage.",271.82,223.28,566,3.19,True,2024-12-15 10:23:44.104742,Wilson LLC,SKU-37607,4.4,32
32,3,305,Boyd-Roberson Film,"Political security face.
Beyond serious positive first quite garden. Rock must professor main five today American happen.
Building bill view food simple. Particularly especially president bit.",493.65,484.58,52,1.94,True,2024-12-15 10:23:44.104742,Davis Inc,SKU-46265,3.1,48
33,2,203,Oconnor-Norton Consumer,Training sport fall lose whether front. Any travel dark anything ask Democrat buy. Page trip ability.,169.97,154.73,437,11.26,True,2024-12-29 10:23:44.104742,Smith-Parrish,SKU-29536,4.1,52
34,5,505,Garcia-Donovan Hotel,"Draw situation along pull.
Then push lay so four. Some item important role staff. Player to tell fill official.",156.61,126.6,373,17.99,True,2025-01-08 10:23:44.104742,Bridges Inc,SKU-15229,4.8,36
35,2,201,Reyes Ltd Skin,"Ability force look third fish notice.
Claim ask card family short. Skill like story expert scene moment miss. Just hotel pull small order personal development service.",360.14,351.8,416,19.48,True,2024-12-26 10:23:44.104742,"French, Choi and Adams",SKU-41029,4.7,30
36,4,401,Armstrong PLC Might,Eye test Republican both exist house investment. At student many near oil theory break. Agree face result network.,187.57,162.52,953,8.29,True,2024-12-14 10:23:44.104742,"Jones, Miller and Marshall",SKU-42527,3.5,112
37,1,104,Bennett Group Trade,"Letter increase sister forget across. Skin consumer teacher wind.
Though nor someone space. Perhaps break individual site lose involve sign. Color process surface plan hundred particularly for.",873.45,780.98,204,16.35,True,2024-12-16 10:23:44.104742,Smith-Owen,SKU-50001,4.6,35
38,2,201,"Freeman, Brown and Donovan Wonder","Clear picture want beyond message occur. Prevent nothing factor style.
Star mouth professor of from tend might. Nation although middle should.",663.43,574.3,885,1.48,True,2024-12-31 10:23:44.104742,Sanchez-Macdonald,SKU-56025,4.3,56
39,5,503,Ramirez PLC General,"Perform company amount two court least my. Reason explain team friend sound particular others.
Miss him suggest the dark. Ago treat allow. Sure better inside.",939.84,916.73,267,3.65,True,2025-01-09 10:23:44.104742,"Jones, Johnson and Davis",SKU-44795,3.1,86
40,4,403,Mercado and Sons Appear,Their power science parent. Cold finish voice shake she relationship society scene. Ability win a attention lay watch hot daughter.,731.26,648.83,523,2.4,True,2025-01-02 10:23:44.104742,Williams-Ramirez,SKU-34914,3.5,92
41,4,401,"Cortez, Reynolds and Stevens Cause","Special even yet strategy. Speak happen rise about allow.
Trouble loss right billion. Again if how south weight write our.",524.72,476.28,736,18.81,True,2024-12-18 10:23:44.104742,Collier-Oliver,SKU-35825,3.7,12
42,3,305,"Fuentes, Miller and Moore Next","Measure night idea usually record grow hit. Happen ten operation whom kind walk outside rest. Past anyone its effort everything.
Again lot American down yes from. Watch ask worry.",320.78,264.62,921,6.08,True,2024-12-16 10:23:44.104742,"Scott, Edwards and Lee",SKU-63528,3.7,95
43,3,305,"Miller, Williams and Harris Show","And Democrat last home new own plant. Study even firm food. Do card law ahead story.
Mean add home. Business be whom us machine just. Drop of why and total close mission.",136.01,126.9,388,13.58,True,2024-12-30 10:23:44.104742,Torres-Hardy,SKU-90676,4.1,55
44,5,501,"Nelson, Rodriguez and Lawrence Per","Civil even usually agree above leader. Evidence cause rule only until interview across avoid.
Note ready bag arrive. Friend nearly develop source experience which side. Do believe member leader of.",310.84,275.39,593,12.17,True,2025-01-06 10:23:44.104742,"Santos, Bush and Esparza",SKU-67905,3.9,30
45,5,504,Walton-Rowe Money,Performance administration wear bring traditional stuff. Yes world when drug book. Cover court financial star compare policy.,795.8,763.33,173,13.21,True,2024-12-13 10:23:44.104742,"Hawkins, Daniel and Moreno",SKU-97012,4.3,46
46,1,102,Pena Group Activity,"Type firm produce treat. Project happen could build history contain decision. Talk want with likely may.
Huge free once provide feeling add guess. Enter police though agency method.",676.07,649.91,150,0.59,True,2025-01-05 10:23:44.104742,"Reese, Vazquez and Tucker",SKU-72277,4.2,105
47,1,104,Sullivan and Sons City,Friend present mouth trial industry meeting. Artist sea tell need trip. Dog those enter remember cell.,420.3,384.63,735,13.96,True,2024-12-23 10:23:44.104742,Nguyen-Cooper,SKU-41979,3.3,93
48,1,101,"Fischer, Klein and Wagner Each","Produce music before rock leg production.
Public system try daughter trade big. Whole none old glass according various local.",780.64,651.97,980,13.95,True,2025-01-05 10:23:44.104742,Meadows Inc,SKU-83060,3.5,19
49,4,402,Miller-Franklin Until,"Local issue leader environment fly center. Your development with wrong evidence nice join.
You this able gas wall ok husband.",803.4,728.06,572,11.95,True,2024-12-22 10:23:44.104742,Delacruz Ltd,SKU-68008,4.2,98
50,5,504,Obrien-Collins Would,Beyond sign interesting investment partner while. Lead great option town look character know.,832.26,740.03,162,14.9,True,2024-12-26 10:23:44.104742,Allen-Murphy,SKU-43972,4.5,84
51,3,305,Gray-Hoffman Television,"Any area result reality audience boy travel late. Front picture book history.
Question talk shoulder guess. House recently high.
Issue cover particularly focus lay effect run. Add customer financial.",489.75,418.7,79,14.3,True,2025-01-05 10:23:44.104742,Park LLC,SKU-54020,3.6,76
52,1,102,Avery-Andrade Success,"Institution since cut.
Change so capital budget skill part. Mr fire front brother television. There of catch number travel never western.",159.32,149.57,723,4.36,True,2024-12-31 10:23:44.104742,"Fernandez, Andrews and Kerr",SKU-53369,4.1,57
53,1,102,Lowe LLC Majority,"Computer ten this TV believe. Artist station member provide heavy age official.
Dog resource rich anyone. Get money represent stop soldier from three study.",834.56,818.68,598,18.93,False,2024-12-31 10:23:44.104742,Romero Inc,SKU-85456,3.8,4
54,3,303,"Green, Fischer and Harris Partner",Miss ball time section. Upon crime music only between least itself. Section dinner owner level. Thus top thing traditional also.,755.94,739.56,855,8.44,True,2024-12-16 10:23:44.104742,Serrano PLC,SKU-81582,4.6,40
55,4,402,"White, Reeves and Roberts Necessary","Relationship rich impact table particular. Along be rule build piece ahead significant save.
Budget safe buy teach serious. Congress man seek send level.",280.21,225.79,344,13.41,True,2024-12-28 10:23:44.104742,Ellison-Ward,SKU-31632,4.7,21
56,5,505,"Hamilton, Gould and Taylor Beat","Public network do pass contain fill production different. Campaign economic wrong kind too six. Able deal how item around.
Opportunity cover very. Eight boy hit. Walk mission share top work.",36.7,33.7,678,0.64,True,2024-12-31 10:23:44.104742,Stevenson LLC,SKU-27786,4.7,29
57,1,103,Martinez-Roberts Party,Office happen since wind series above. Idea how yard way mention think. Adult ago surface hour couple me store.,385.31,343.29,345,15.25,True,2025-01-06 10:23:44.104742,"Smith, Best and Floyd",SKU-65255,3.5,14
58,4,401,"Bailey, Peterson and Mendoza Necessary","Side rest gun general. Along major author team science southern.
Break oil outside ok he. Seek television half name majority. State democratic name network house family pass.",751.53,751.52,358,4.56,False,2025-01-11 10:23:44.104742,Bell PLC,SKU-95426,3.1,12
59,2,202,Jones and Sons Knowledge,"Wide every answer or yard almost.
Every task though government. Here work be fast. Order assume environment sea fine direction civil.",840.84,698.29,129,9.52,True,2024-12-24 10:23:44.104742,Peters Inc,SKU-38569,3.9,42
60,3,302,"Edwards, Wilson and Weber Start","Fire large join last we letter. Think action herself service.
Charge poor management. Game through second interesting.",609.83,579.09,117,15.58,True,2024-12-13 10:23:44.104742,"Williams, Rowe and Reynolds",SKU-50768,3.2,7
61,3,305,"Wagner, Griffin and Rollins Exist","Family between pick ability find Congress anything. Play but perhaps doctor.
Together response condition head already beat. Heavy laugh source art teacher will.",680.57,595.54,964,14.33,False,2024-12-13 10:23:44.104742,"Davies, Jackson and Taylor",SKU-92213,3.5,101
62,3,305,Gonzalez-Griffin Price,"Such during religious population. Why hear laugh pay. Side brother wall science participant reduce police.
Begin last reason beyond. Phone wait heart himself.",807.47,804.86,801,0.92,True,2024-12-18 10:23:44.104742,Moore-Taylor,SKU-96706,3.7,68
63,3,301,Foley-Salinas Form,"President environment vote civil. Sort operation him draw.
Option eight despite term her half even. Weight I time with buy would note.",851.08,764.3,443,19.22,True,2024-12-17 10:23:44.104742,Williams-Walker,SKU-70258,4.4,64
64,2,205,"Barber, Ferrell and Arias Which","Might easy financial smile poor real. Training level officer just. Especially choose that affect.
Writer life question citizen rock occur. Real challenge fear bag product look.",965.82,891.63,941,10.81,True,2025-01-04 10:23:44.104742,Todd-Bruce,SKU-67091,4.7,81
65,3,303,Walton and Sons Only,Analysis tonight skin themselves night smile station. Travel material fall.,853.2,842.04,285,17.64,True,2024-12-17 10:23:44.104742,"Barr, Thomas and Copeland",SKU-70910,4.1,92
66,4,403,Maldonado and Sons Season,"Example decade option recent receive positive really area. Here small far series young wind which.
Rich manager hair put ok. Our during also team list success until.",38.41,33.23,499,4.32,True,2024-12-16 10:23:44.104742,Rivers and Sons,SKU-54608,3.6,84
67,3,305,Howell-Brown Join,"Question certain government two thus table. Dinner knowledge follow way practice must. Respond figure light.
Speak nature activity easy model. Onto require my why trip never.",20.05,16.81,247,14.43,True,2024-12-13 10:23:44.104742,Davis-Smith,SKU-41499,4.4,88
68,4,404,Meyer-Freeman Talk,"War and first agreement offer. Feeling ahead exist discussion top. Sit task court determine.
Forget dog care six. Today very identify same money public himself.",795.0,682.79,414,13.87,True,2025-01-10 10:23:44.104742,Adams Group,SKU-86225,3.7,77
69,5,503,Young-Reed Seek,Herself speech message marriage which wall. Half probably simply measure term mean technology. Animal both just exist same hospital prove peace.,431.25,392.47,360,14.09,True,2024-12-20 10:23:44.104742,"Ray, Hendrix and Clarke",SKU-42951,3.5,96
70,2,203,Hamilton LLC Baby,"Every film upon anything Democrat computer. Recently statement wall campaign appear security.
Guess explain production movie light company forward. Test interest draw true never worker now safe.",128.36,127.1,706,3.78,True,2024-12-26 10:23:44.104742,Ramirez-Tucker,SKU-73464,3.6,82
71,5,505,Nolan Ltd Could,"Teacher ok development structure rich top throw fight. Type use your.
This bank walk age smile so. Moment manager firm.
Protect capital national great relationship. Water agreement particular.",290.17,280.46,303,4.63,True,2025-01-09 10:23:44.104742,"Smith, Garrett and Turner",SKU-11854,4.4,20
72,3,301,Perez-Rose Own,Cover statement picture week front. Between suffer possible assume where say nothing. Reveal trip task from stock degree run. Behavior night account never.,974.55,836.58,966,2.61,True,2024-12-26 10:23:44.104742,"Alvarez, Beck and Barnes",SKU-74340,3.2,5
73,5,503,Stanton LLC Appear,Which it generation fall including federal call. Keep movement manage prepare.,474.7,412.11,988,1.12,True,2024-12-29 10:23:44.104742,Lyons-Pugh,SKU-72616,3.2,10
74,4,404,Casey LLC President,"Goal future stay each. Dream travel customer language.
Brother stay of daughter activity. Member job indicate likely happen whose three. Similar group past.
Purpose minute million visit.",83.34,78.12,155,3.07,True,2024-12-23 10:23:44.104742,Brady-Williams,SKU-49824,3.2,39
75,1,105,"Small, Johnson and Williams Environment",Cut card relate staff. Suffer idea wife this from. Outside month near music agency strategy more she.,766.8,704.86,633,4.59,True,2024-12-24 10:23:44.104742,"Gamble, Lutz and Wright",SKU-69049,4.8,44
76,5,504,"White, Roberts and Mccarthy Must","Movie site soldier chair claim land future. Nearly they occur call. Memory same hope safe election center.
Across would as. Clear reduce now. Wall church item this service recognize.",312.33,253.62,983,14.83,True,2024-12-24 10:23:44.104742,"Williams, Hernandez and Shepard",SKU-37235,4.3,44
77,1,102,Bryant-Miles Most,Owner animal attack reflect. Word expert right purpose so myself bed. Traditional concern standard government media analysis. Many public Republican south.,247.47,201.69,2,8.23,True,2024-12-26 10:23:44.104742,Smith-Bates,SKU-71592,3.6,37
78,3,303,Carpenter-Wheeler Red,"Director foot including case. Leg learn west stage system.
Compare wrong general. Go character picture father deep development green.
Experience might national talk. Practice worry stand front.",705.96,574.82,239,18.49,True,2024-12-29 10:23:44.104742,"Carpenter, Lane and Davidson",SKU-91927,4.2,28
79,4,401,Hudson-Clark Example,"End mother summer trade clear speak lose. Painting agency example scientist.
Perhaps institution describe prove control series. Note fear for result. Over method become.",549.12,455.66,272,16.55,False,2024-12-23 10:23:44.104742,Mccall-Rhodes,SKU-31747,4.6,86
80,5,503,"Miller, Edwards and Wright Meeting",Involve push understand every next write college. Phone chance notice generation single.,444.76,417.07,716,8.11,True,2024-12-29 10:23:44.104742,Maldonado Inc,SKU-80776,4.0,18
81,5,501,"Prince, Castillo and Kelly Issue","Research especially while. Himself just increase much note where culture thank.
Song less learn picture. Up politics keep rest believe later. Look nothing design itself enjoy along.",890.53,769.83,256,0.61,True,2024-12-20 10:23:44.104742,Johnson-Smith,SKU-98381,4.7,83
82,5,501,York-Moore Share,Whether husband chance ever office. Nice impact try suggest election speech teach. Current opportunity describe. Break he support that until maintain yet apply.,999.58,963.88,590,0.9,True,2024-12-22 10:23:44.104742,Butler-Jones,SKU-71669,4.0,59
83,3,302,"Jones, Blair and Young Begin","Available response tell job chance third school. Thank cause often reason surface.
Three discussion likely human listen. Skill least newspaper wind.",996.98,924.15,503,19.38,True,2024-12-30 10:23:44.104742,King Inc,SKU-63523,3.7,93
84,1,102,"Bridges, Guerra and Peters Bar","Management event turn visit. Government soldier pretty nothing listen big concern.
Account someone mean five rest hot. Still attorney black marriage shoulder. Appear perhaps maybe.",336.51,302.55,678,18.91,True,2024-12-21 10:23:44.104742,"Villarreal, Patrick and Fry",SKU-82102,3.1,19
85,3,303,Terry-Smith I,"Up would no but hotel. Middle may state year scientist red store. Rock size science general study city.
Likely less beat rest decide father spend left. Politics citizen our rest food order.",330.04,290.71,526,16.52,False,2024-12-19 10:23:44.104742,Young-Allen,SKU-81118,3.9,13
86,2,205,Willis PLC Source,"Movement involve I instead fast choice. Personal common run particularly wall these partner reveal. Unit man employee follow.
Office PM name little just. Value four I tree manager.",368.16,331.23,452,15.22,True,2024-12-19 10:23:44.104742,"Santiago, Downs and Bell",SKU-81987,3.3,43
87,4,404,Ramirez-Parker At,Though bag make beat huge. Field anyone suffer home position car save.,130.21,120.03,245,14.22,True,2024-12-23 10:23:44.104742,Fox and Sons,SKU-11792,4.1,19
88,2,201,"Lopez, Roy and Mcbride Race","Within father increase nation between hospital. Add those her space indicate yeah even let. Very recent effort interesting.
Similar according that certainly surface. Hand list town too usually.",466.83,433.94,157,10.02,True,2025-01-09 10:23:44.104742,Rodriguez-Mitchell,SKU-76698,4.4,59
89,4,404,Keller-Hunt Ok,"Economic draw along bring someone hair. Bar adult by education skin night. Upon black once plant view price.
Religious which care almost find money. Me relate face source.",251.29,208.3,195,18.45,True,2024-12-26 10:23:44.104742,Johnson PLC,SKU-27892,4.7,41
90,4,403,Riddle Ltd Put,Either garden candidate child everybody. Car strategy whatever music try build.,934.91,797.88,2,5.73,True,2024-12-27 10:23:44.104742,Huff and Sons,SKU-86931,4.2,88
91,4,402,Clark-Bailey Discuss,"System force financial environment thus rich card thought. Issue central bag. Lay next near accept.
For good challenge reduce hope use environmental. Number method always ahead off.",452.08,392.87,565,15.28,True,2024-12-28 10:23:44.104742,Lang-Norris,SKU-52176,4.7,99
92,2,205,Sanders-Melendez Safe,"Poor adult push begin resource which student. Education suddenly give drug. Officer surface down.
Type shoulder probably. Four worry kind thing.",389.14,371.67,44,6.43,True,2024-12-16 10:23:44.104742,"Anderson, Smith and Cobb",SKU-59968,3.8,92
93,2,204,Mccarthy Group Among,Difficult politics science either practice. One bank conference political different chair.,965.18,869.1,604,6.71,True,2025-01-08 10:23:44.104742,Singleton-Johnson,SKU-67711,3.2,60
94,1,102,"Davis, Jackson and Carlson However","Discussion pay research piece leg culture past. Across for not phone. Own lawyer again source it factor provide son.
Either marriage avoid value hope.",415.88,413.38,76,9.44,True,2024-12-23 10:23:44.104742,Rubio-Roberts,SKU-54375,4.2,59
95,1,103,Evans Group Whole,Number bit foreign bit hair station citizen. Hard treat fire within weight kitchen.,853.82,774.18,977,6.4,True,2024-12-16 10:23:44.104742,Watkins-Miles,SKU-73956,4.7,11
96,5,501,Wang-Graves Word,"Risk Republican big. Oil year police tough subject nice.
Attention agency table image sit. Run born Republican.",242.42,238.59,232,14.96,True,2024-12-22 10:23:44.104742,Robinson-Freeman,SKU-22903,4.5,100
97,1,104,"Flores, Boyer and Sanchez Dream","Brother officer air five month. Figure property somebody fill.
Become exactly crime create west newspaper behind soon. Movie reason manager soldier.",174.7,171.33,47,6.56,False,2025-01-03 10:23:44.104742,Gallagher LLC,SKU-56984,3.7,24
98,2,205,Hill Group Challenge,"Speak sign late future. Protect bank ahead full south.
Whatever treat television mind season. Back our course state news model catch. Computer wife have authority together story reach.",417.93,400.59,174,3.58,True,2024-12-22 10:23:44.104742,Clark-Lewis,SKU-60140,4.2,39
99,4,405,"Shelton, Smith and Kline Test","Picture business purpose within through. Step herself guy bank wall him in.
Fly point number example picture reason. Head city main education draw.",151.69,140.7,470,5.18,False,2024-12-29 10:23:44.104742,Mejia-Leach,SKU-70981,4.8,92
100,5,502,Johnson Group Fast,Enter bring piece health clearly or appear. Account whole standard future. Memory push employee coach garden interest foot.,83.12,72.24,601,6.05,True,2024-12-13 10:23:44.104742,Meyer-Cooper,SKU-42780,3.9,42
101,2,204,Drake-Russell West,Large public difference may experience. Big white work responsibility receive out energy former. Bit marriage number recent.,854.8,724.39,585,7.24,True,2025-01-09 10:23:44.104742,"Andrade, Short and Barber",SKU-48696,3.0,91
102,4,403,"Armstrong, Mcdonald and Brown Cup","Skill time ability stop budget some challenge. Trade tonight class center perform six.
Really most pretty.
Create free test cup sometimes claim message. Trip board situation door example ever.",18.02,16.88,762,19.47,True,2024-12-16 10:23:44.104742,Alexander Ltd,SKU-75107,4.7,40
103,2,205,Barton-Andrews Author,System result eye table network beyond. Wind no claim civil health process this. Hot keep major push thought.,803.91,745.49,635,5.09,True,2025-01-05 10:23:44.104742,Ball-Lewis,SKU-96400,4.4,21
104,1,101,Hanson-Cameron Manage,"Explain coach news group happen fill government. Modern brother friend face fish.
Have these government situation represent summer marriage. His station shake.",315.84,254.78,373,14.67,False,2024-12-29 10:23:44.104742,Martinez-Ramsey,SKU-48680,3.7,56
105,2,202,Riddle Ltd Enough,Bag maintain consider understand ground oil character. Hot lay daughter week night heavy. Travel significant on add first ok few sea.,140.84,137.36,374,10.66,True,2024-12-26 10:23:44.104742,Wood Inc,SKU-31567,3.5,68
106,3,303,Chang-Sullivan Type,"Food water conference near two simple sort. Clearly treat wife since capital no.
Happy rich pay already. Amount police risk often police his. Tell actually as beautiful president sure result.",806.19,800.21,144,15.11,True,2024-12-29 10:23:44.104742,"Burns, Williams and Ruiz",SKU-98647,4.4,55
107,5,503,"Holt, Hernandez and Swanson Notice","Hundred far research. Sell rest floor recent enter. Mean boy theory professor.
Will occur thousand new.",99.4,79.8,549,2.56,True,2024-12-31 10:23:44.104742,"Chavez, Young and Miller",SKU-98125,3.5,56
108,3,301,Hopkins-Leonard Less,Machine school throw employee. Despite space room the human less.,678.09,545.86,905,18.87,True,2024-12-28 10:23:44.104742,Kerr-Mueller,SKU-89964,3.4,15
109,4,403,Lin Inc Mention,Because after film southern race newspaper work. Walk than week white market answer along.,652.75,540.45,968,0.84,True,2025-01-09 10:23:44.104742,Anthony Inc,SKU-25220,3.2,75
110,2,204,Wallace PLC Debate,"Environmental half administration. Ask soon treatment sign drive decision. Security try significant group finish relate.
Set deal develop cell. Government read claim score.",459.11,454.46,713,18.92,True,2024-12-22 10:23:44.104742,Blair LLC,SKU-30253,4.8,87
111,1,104,Ortiz Inc Thing,"Agreement born president firm become under. His risk end medical.
Nature would himself baby. Run food office. Many else position little other thing treat wide.",619.5,613.49,33,13.84,True,2024-12-13 10:23:44.104742,Burns Ltd,SKU-68287,4.9,55
112,1,103,"Sloan, Garcia and Greene Respond","Decade democratic specific pressure brother. Author though one model responsibility stay field. But police policy too hope card. Rather find hit.
Big door himself give market. Who know model theory.",549.02,478.6,407,5.59,True,2024-12-23 10:23:44.104742,"Paul, Peters and Stephens",SKU-69600,3.2,32
113,5,501,"Mullen, Martin and Young Clearly","Market you goal. Wall fear into grow appear.
Century clear service meet million personal serve. Move size maintain prevent hair. Southern girl point magazine public poor.",60.07,50.98,128,15.76,True,2025-01-02 10:23:44.104742,"Hartman, Brewer and Boyle",SKU-82641,3.4,33
114,2,203,Morgan-Williams If,"Include per product card. Executive office director degree general maybe. Notice travel already recently.
Need film activity. Far join read war.",776.62,761.17,2,5.62,True,2024-12-18 10:23:44.104742,"Terry, Allen and Carter",SKU-27038,4.1,30
